Calendar Year,ACARA School ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,Statistical Area 1,Statistical Area 2,Name of Statistical Area 2,Statistical Area 3,Name of Statistical Area 3,Statistical Area 4,Name of Statistical Area 4,ABS Remoteness Area
2017,40440,6489,Brisbane Water Secondary College Woy Woy Campus,WOY WOY,NSW,2256,Government,Secondary,School Single Entity,Individual Reporting,-33.492687,151.323582,1104205,11042,Woy Woy - Blackwall,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,40649,16188,Girrakool School,KARIONG,NSW,2250,Government,Special,School Single Entity,Individual Reporting,-33.4237,151.296,1103309,11033,Kariong,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,40721,18102,Lakes Grammar - An Anglican School,WARNERVALE,NSW,2259,Independent,Combined,School Single Entity,Individual Reporting,-33.2423897,151.4444111,1105624,11056,Warnervale - Wadalba,10202,Wyong,102,Central Coast,Major Cities of Australia
2017,40758,24090,Rumbalara Environmental Education Centre,GOSFORD,NSW,2250,Government,Special,School Single Entity,Individual Reporting,-33.428082,151.347464,1103213,11032,Gosford - Springfield,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,40924,77454,"St Edward's Christian Brothers' College, Terrigal campus (The Haven Education Centre)",TERRIGAL,NSW,2260,Independent,Secondary,School Sub-Campus and Single entity,Rolled Reporting,-33.436344,151.415249,1103923,11039,Terrigal - North Avoca,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,41856,16159,Avoca Beach Public School,AVOCA BEACH,NSW,2251,Government,Primary,School Single Entity,Individual Reporting,-33.471154,151.430745,1102803,11028,Avoca Beach - Copacabana,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,41863,8706,Berkeley Vale Public School,BERKELEY VALE,NSW,2261,Government,Primary,School Single Entity,Individual Reporting,-33.350515,151.435888,1104704,11047,Chittaway Bay - Tumbi Umbi,10202,Wyong,102,Central Coast,Major Cities of Australia
2017,41871,8671,Brisbania Public School,SARATOGA,NSW,2251,Government,Primary,School Single Entity,Individual Reporting,-33.478822,151.357294,1103816,11038,Saratoga - Davistown,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,41889,8699,Empire Bay Public School,EMPIRE BAY,NSW,2257,Government,Primary,School Single Entity,Individual Reporting,-33.504316,151.362889,1102910,11029,Box Head - MacMasters Beach,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,41890,8729,The Entrance Public School,THE ENTRANCE,NSW,2261,Government,Primary,School Single Entity,Individual Reporting,-33.346741,151.493009,1105334,11053,The Entrance,10202,Wyong,102,Central Coast,Major Cities of Australia
2017,41892,8674,Erina Heights Public School,ERINA HEIGHTS,NSW,2260,Government,Primary,School Single Entity,Individual Reporting,-33.428028,151.413585,1103119,11031,Erina - Green Point,10201,Gosford,102,Central Coast,Major Cities of Australia
2017,41893,8676,Woodport Public School,ERINA,NSW,2250,Government,Primary,School Single Entity,Individual Reporting,-33.43961204,151.3794392,1103132,11031,Erina - Green Point,10201,Gosford,102,Central Coast,Major Cities of Australia
